# Temperatures_K Pressures_bar z_km Mass_fraction_CO Mass_fraction_CO2 Mass_fraction_N2 Mass_fraction_CH4 Mass_fraction_H2O Mass_fraction_O2
2.205999999999999943e+02 3.760000000000000148e-02 1.637000000000000099e+01 2.656606001271002500e-38 1.182508515162340001e-33 2.302714401345454710e-13 9.999999999997697397e-01 1.721315334168279775e-115 7.703527699504971162e-112
2.215000000000000000e+02 5.081000000000000100e-02 1.499000000000000021e+01 2.289913420290059626e-38 9.275168149491355850e-34 1.540398421935138492e-13 9.999999999998459010e-01 4.329481998641675109e-115 1.658164533079483830e-111
2.215999999999999943e+02 6.606000000000000760e-02 1.377999999999999936e+01 1.424407870888193185e-38 5.709600321668654649e-34 9.316870346327774749e-14 9.999999999999068523e-01 4.275449461195372078e-115 1.435256467131880468e-111
2.243000000000000114e+02 8.283000000000000085e-02 1.273000000000000043e+01 3.454465609964378439e-38 1.048500639070247808e-33 1.069806714128064826e-13 9.999999999998930855e-01 9.039198614200016026e-114 2.668913185636644135e-110
2.275999999999999943e+02 1.006000000000000089e-01 1.181000000000000050e+01 1.152506646167314820e-37 2.513088350019113753e-33 1.466026439093387581e-13 9.999999999998533395e-01 3.543815613532917165e-112 9.325327692015118993e-109
2.310000000000000000e+02 1.199000000000000066e-01 1.098000000000000043e+01 3.999646760586770956e-37 6.266486828942914979e-33 2.088864960211211071e-13 9.999999999997910560e-01 1.405306961980706089e-110 3.327528670003506769e-107
2.344000000000000057e+02 1.413000000000000089e-01 1.018999999999999950e+01 1.356864314858368198e-36 1.542630863746022712e-32 2.985452318661746828e-13 9.999999999997014610e-01 5.026002071590093457e-109 1.077657678889478988e-105
2.376999999999999886e+02 1.643000000000000016e-01 9.457000000000000739e+00 4.334091634909162653e-36 3.642211033380258157e-32 4.219387635004919246e-13 9.999999999995780042e-01 1.470743954887647350e-107 2.878122924903278937e-104
2.409000000000000057e+02 1.885000000000000286e-01 8.775000000000000355e+00 1.310380226225964129e-35 8.281705050382525457e-32 5.910236570166793283e-13 9.999999999994089173e-01 3.566665099659883658e-106 6.419718676560222041e-103
2.435999999999999943e+02 2.143000000000000183e-01 8.131999999999999673e+00 3.163114498126227826e-35 1.581368250018877257e-31 7.571879698132984364e-13 9.999999999992428279e-01 4.888179015011151936e-105 8.151867724155176800e-102
2.458000000000000114e+02 2.421000000000000096e-01 7.514000000000000234e+00 6.151177542689939500e-35 2.550521420501995687e-31 8.878430160069063256e-13 9.999999999991121546e-01 3.916180018913205702e-104 6.085485672063440391e-101
2.479000000000000057e+02 2.725000000000000200e-01 6.908999999999999808e+00 1.139389253126782905e-34 3.964381049734059423e-31 1.023190612578671374e-12 9.999999999989768185e-01 2.752678684430483399e-103 3.995740204283504335e-100
2.496999999999999886e+02 3.059000000000000052e-01 6.312000000000000277e+00 1.857532059861122932e-34 5.574485636862783613e-31 1.117693328569911956e-12 9.999999999988823385e-01 1.415592450530007321e-102 1.924857653269059845e-99
2.515000000000000000e+02 3.430000000000000271e-01 5.719000000000000306e+00 3.004868796004050094e-34 7.794848284554326911e-31 1.218422417986604136e-12 9.999999999987816413e-01 7.110052033730942910e-102 9.062875873399830371e-99
2.536999999999999886e+02 3.842000000000000415e-01 5.126999999999999780e+00 5.627691562784784236e-34 1.225238810321975497e-30 1.419361826019025088e-12 9.999999999985806909e-01 5.016373389394396206e-101 5.988450761449437113e-98
2.560000000000000000e+02 4.290000000000000480e-01 4.544999999999999929e+00 1.085846890845030641e-33 1.974930298911591052e-30 1.681629813936519765e-12 9.999999999983183452e-01 3.743656409753456437e-100 4.191386452776708356e-97
2.583000000000000114e+02 4.770000000000000351e-01 3.980999999999999872e+00 2.080922493567079169e-33 3.172252819792348122e-30 1.996092484974101058e-12 9.999999999980039300e-01 2.699073478783571521e-99 2.840734538088286827e-96
2.603000000000000114e+02 5.274000000000000909e-01 3.439999999999999947e+00 3.560466625060890167e-33 4.667512505234093892e-30 2.267315169799301542e-12 9.999999999977325915e-01 1.454936955585473286e-98 1.445469113539687628e-95
