# wavelengths_cm Transit_radius_cm depth_ppm
8.475519938123526062e-05 5.867968624348142147e+08 1.137689281100224115e+01
8.560788323920873579e-05 5.867762714838761091e+08 1.102435414232033395e+01
8.646914556513422107e-05 5.867561309519109726e+08 1.067953908669079510e+01
8.733907266311093250e-05 5.867364427717752457e+08 1.034247993974669200e+01
8.821775170550482119e-05 5.867172080107223988e+08 1.001319419225881546e+01
8.910527074168394959e-05 5.866984269071720839e+08 9.691685162199039638e+00
9.000171870684110537e-05 5.866800989095367193e+08 9.377942661726111240e+00
9.090718543090599746e-05 5.866622227166546583e+08 9.071943691389341424e+00
9.182176164754698013e-05 5.866447963193941116e+08 8.773653154092704298e+00
9.274553900326273871e-05 5.866278170430256128e+08 8.483024581941739584e+00
9.367861006656603767e-05 5.866112815900087357e+08 8.200000869920240021e+00
9.462106833725999176e-05 5.865951860828603506e+08 7.924515010715439622e+00
9.557300825580683317e-05 5.865795261067951918e+08 7.656490825411050416e+00
9.653452521279174965e-05 5.865642967518936396e+08 7.395843685864803341e+00
9.750571555848176655e-05 5.865494926545429230e+08 7.142481224458054001e+00
9.848667661248037739e-05 5.865351080379652977e+08 6.896304028014562881e+00
9.947750667347967138e-05 5.865211367516498566e+08 6.657206312789058167e+00
1.004783050291107709e-04 5.865075723095455170e+08 6.425076578106163616e+00
1.014891719658928774e-04 5.864944079268914461e+08 6.199798236524076245e+00
1.025102087792825240e-04 5.864816365555899143e+08 5.981250218928225948e+00
1.035415177838240939e-04 5.864692509180455208e+08 5.769307553283999468e+00
1.045832023234028889e-04 5.864572435394103527e+08 5.563841915986833975e+00
1.056353667816000471e-04 5.864456067782071829e+08 5.364722155390121650e+00
1.066981165921528844e-04 5.864343328552948236e+08 5.171814786877692249e+00
1.077715582495204311e-04 5.864234138811818361e+08 4.984984459615533048e+00
1.088557993195540683e-04 5.864128418816843033e+08 4.804094394919311561e+00
1.099509484502767204e-04 5.864026088219466209e+08 4.629006796560438453e+00
1.110571153827704402e-04 5.863927066288534403e+08 4.459583233517034451e+00
1.121744109621725230e-04 5.863831272118618488e+08 4.295684995661697592e+00
1.133029471487832118e-04 5.863738624822993279e+08 4.137173423190688482e+00
1.144428370292851978e-04 5.863649043711726665e+08 3.983910210550184239e+00
1.155941948280749969e-04 5.863562448455343246e+08 3.835757685686476570e+00
1.167571359187092916e-04 5.863478759234696627e+08 3.692579065694050477e+00
1.179317768354664302e-04 5.863397896877545118e+08 3.554238689718467015e+00
1.191182352850232967e-04 5.863319782982468605e+08 3.420602230208018568e+00
1.203166301582505638e-04 5.863244340030734539e+08 3.291536883564722515e+00
1.215270815421265975e-04 5.863171491486712694e+08 3.166911541208493830e+00
1.227497107317707321e-04 5.863101161887445450e+08 3.046596942111739814e+00
1.239846402425976238e-04 5.863033276922018528e+08 2.930465807906135645e+00
1.252319938225942685e-04 5.862967763501316309e+08 2.818392961547599107e+00
1.264918964647207403e-04 5.862904549818751812e+08 2.710255430574449953e+00
1.277644744194345017e-04 5.862843565402551889e+08 2.605932535935869154e+00
1.290498552073420944e-04 5.862784741160188913e+08 2.505305967407837286e+00
1.303481676319776818e-04 5.862728009415464401e+08 2.408259846463491449e+00
1.316595417927094456e-04 5.862673303938791752e+08 2.314680777531613387e+00
1.329841090977765478e-04 5.862620559971191883e+08 2.224457888531333083e+00
1.343220022774576879e-04 5.862569714242467880e+08 2.137482861456504679e+00
1.356733553973706312e-04 5.862520704984037876e+08 2.053649953865565259e+00
1.370383038719069375e-04 5.862473471936854124e+08 1.972856011973544099e+00
1.384169844778016726e-04 5.862427956354830265e+08 1.895000476089631292e+00
1.398095353678386460e-04 5.862384101004173756e+08 1.819985379075828469e+00
1.412160960846944792e-04 5.862341850158997774e+08 1.747715338448785793e+00
1.426368075749220225e-04 5.862301149593563080e+08 1.678097542761396888e+00
1.440718122030740396e-04 5.862261946571475267e+08 1.611041732770515544e+00
