# wavelengths_cm Transit_radius_cm depth_ppm
1.330134972976669727e-05 5.960423918351655006e+08 1.709198766831926548e+02
1.343516861387804377e-05 5.960379869003461599e+08 1.708432702532419114e+02
1.357033378946423078e-05 5.960330042622199059e+08 1.707566176401253699e+02
1.370685880095693256e-05 5.960274118352810144e+08 1.706593611072049725e+02
1.384475732905225145e-05 5.960211799445133209e+08 1.705509848898193184e+02
1.398404319208165085e-05 5.960142814401032925e+08 1.704310171936135987e+02
1.412473034739655088e-05 5.960066917630721331e+08 1.702990313387515755e+02
1.426683289276699831e-05 5.959983889721574783e+08 1.701546462296342668e+02
1.441036506779437009e-05 5.959893537373840809e+08 1.699975262446795625e+02
1.455534125533826816e-05 5.959795693032859564e+08 1.698273805976950257e+02
1.470177598295772397e-05 5.959690214309023619e+08 1.696439623294615728e+02
1.484968392436698721e-05 5.959576983165287971e+08 1.694470668944775298e+02
1.499907990090598520e-05 5.959455904949326515e+08 1.692365304769360250e+02
1.514997888302542068e-05 5.959326907265752554e+08 1.690122280280421876e+02
1.530239599178694843e-05 5.959189938791025877e+08 1.687740712031634871e+02
1.545634650037846136e-05 5.959044967991510630e+08 1.685220061301252485e+02
1.561184583564445539e-05 5.958891981859233379e+08 1.682560112079068233e+02
1.576890957963195946e-05 5.958730984645787477e+08 1.679760949017575626e+02
1.592755347115201538e-05 5.958561996640422344e+08 1.676822936148816723e+02
1.608779340735667357e-05 5.958385052990356684e+08 1.673746696332899830e+02
1.624964544533208247e-05 5.958200202598323822e+08 1.670533092047445223e+02
1.641312580370754285e-05 5.958007507019532919e+08 1.667183206165446450e+02
1.657825086428063536e-05 5.957807039449068308e+08 1.663698324304539824e+02
1.674503717365880088e-05 5.957598883718196154e+08 1.660079917330542116e+02
1.691350144491750914e-05 5.957383133298069239e+08 1.656329623989581989e+02
1.708366055927488356e-05 5.957159890396237373e+08 1.652449235153931966e+02
1.725553156778338187e-05 5.956929265003527403e+08 1.648440677205905445e+02
1.742913169303845128e-05 5.956691374048763514e+08 1.644305997297572333e+02
1.760447833090430055e-05 5.956446340572786331e+08 1.640047348947223611e+02
1.778158905225705991e-05 5.956194292953718901e+08 1.635666978528392406e+02
1.796048160474551859e-05 5.955935364212238789e+08 1.631167213151333044e+02
1.814117391456962296e-05 5.955669691362769604e+08 1.626550449344441347e+02
1.832368408827666752e-05 5.955397414774736166e+08 1.621819141912849034e+02
1.850803041457577835e-05 5.955118677671419382e+08 1.616975795190369922e+02
1.869423136617056718e-05 5.954833625577980280e+08 1.612022953410408093e+02
1.888230560161017281e-05 5.954542405816913843e+08 1.606963191903517156e+02
1.907227196715894740e-05 5.954245167070114613e+08 1.601799109454812822e+02
1.926414949868509604e-05 5.953942058907234669e+08 1.596533320078341376e+02
1.945795742356805260e-05 5.953633231381381750e+08 1.591168445964023306e+02
1.965371516262523919e-05 5.953318834632263184e+08 1.585707110556614339e+02
1.985144233205823270e-05 5.952999018554213047e+08 1.580151932764351841e+02
2.005115874541831499e-05 5.952673932451318502e+08 1.574505520946221964e+02
2.025288441559197904e-05 5.952343724766756296e+08 1.568770468190569431e+02
2.045663955680637099e-05 5.952008542878532410e+08 1.562949348749426122e+02
2.066244458665489147e-05 5.951668532862505913e+08 1.557044713906683455e+02
2.087032012814308172e-05 5.951323839311333895e+08 1.551059088819662009e+02
2.108028701175525862e-05 5.950974605191470385e+08 1.544994970023337828e+02
2.129236627754191221e-05 5.950620971684458256e+08 1.538854822663782329e+02
2.150657917722792323e-05 5.950263078044101000e+08 1.532641078009067712e+02
2.172294717634222082e-05 5.949901061448311806e+08 1.526356130869680499e+02
2.194149195636877861e-05 5.949535056898556948e+08 1.520002337846972580e+02
2.216223541691917295e-05 5.949165197066185474e+08 1.513582014661272126e+02
2.238519967792708263e-05 5.948791612195574045e+08 1.507097434467940502e+02
2.261040708186494021e-05 5.948414430007537603e+08 1.500550826179706405e+02
2.283788019598265029e-05 5.948033775604060888e+08 1.493944372813325288e+02
2.306764181456906243e-05 5.947649771414495707e+08 1.487280210557480586e+02
2.329971496123614457e-05 5.947262537114305496e+08 1.480560427365371652e+02
2.353412289122598568e-05 5.946872189578877687e+08 1.473787062157251171e+02
2.377088909374116976e-05 5.946478842824021578e+08 1.466962103793028689e+02
2.401003729429865329e-05 5.946082607969942093e+08 1.460087490453329053e+02
