# wavelengths_cm Transit_radius_cm depth_ppm
1.869010103489332768e-04 5.871521115648635626e+08 1.746107823269450421e+01
1.887813371693165354e-04 5.871824330426143408e+08 1.798055053593030905e+01
1.906805811102916246e-04 5.871392724919844866e+08 1.724112531062068143e+01
1.925989324884816553e-04 5.871384560575271845e+08 1.722713870442088435e+01
1.945365835351997163e-04 5.874197485591187477e+08 2.204720371354634878e+01
1.964937284157120836e-04 5.877962742033156157e+08 2.850274200685363368e+01
1.984705632486936054e-04 5.871684099626704454e+08 1.774030160088141983e+01
2.004672861258807097e-04 5.880973206119593382e+08 3.366716341601660645e+01
2.024840971319218986e-04 5.875892969929716587e+08 2.495360240880832947e+01
2.045211983644271137e-04 5.873655433797606230e+08 2.111819564937740878e+01
2.065787939542189518e-04 5.876707782915580273e+08 2.635065296416846437e+01
2.086570900857881179e-04 5.872546780710651875e+08 1.921837177431402921e+01
2.107562950179551196e-04 5.871460786379750967e+08 1.735772438453922817e+01
2.128766191047380696e-04 5.871477770703142881e+08 1.738682118504614493e+01
2.150182748164319337e-04 5.871545830632449389e+08 1.750341932567715020e+01
2.171814767609003371e-04 5.871517235355787277e+08 1.745443062808922718e+01
2.193664417050791154e-04 5.871406654760190248e+08 1.726498902143652359e+01
2.215733885966984947e-04 5.871335044422643185e+08 1.714231137759533752e+01
2.238025385862239824e-04 5.871303452345451117e+08 1.708819059468697077e+01
2.260541150490153731e-04 5.871296447377067804e+08 1.707619033510543005e+01
2.283283436077113214e-04 5.871296937132698298e+08 1.707702933838259085e+01
2.306254521548388881e-04 5.871301195412073135e+08 1.708432422500962744e+01
2.329456708756484098e-04 5.871303587819590569e+08 1.708842267650910784e+01
2.352892322711802521e-04 5.871300401157033443e+08 1.708296358103367396e+01
2.376563711815636647e-04 5.871297059567712545e+08 1.707723908254375189e+01
2.400473248095479246e-04 5.871296577253241539e+08 1.707641282674255123e+01
2.424623327442721691e-04 5.871297521088509560e+08 1.707802971664152381e+01
2.449016369852743740e-04 5.871299448886264563e+08 1.708133223942836310e+01
2.473654819667408101e-04 5.871311050460146666e+08 1.710120699348812678e+01
2.498541145819994707e-04 5.871324375875618458e+08 1.712403492357266543e+01
2.523677842082608608e-04 5.871317663974994421e+08 1.711253667912479770e+01
2.549067427316076100e-04 5.871316745695111752e+08 1.711096356291076148e+01
2.574712445722342116e-04 5.871328134383735657e+08 1.713047367856136560e+01
2.600615467099422532e-04 5.871380931753014326e+08 1.722092205635520656e+01
2.626779087098917364e-04 5.871423384488240480e+08 1.729364939547468083e+01
2.653205927486100026e-04 5.872520147136434317e+08 1.917273602919363640e+01
2.679898636402643910e-04 5.892131131177812815e+08 5.283153710012850013e+01
2.706859888631987917e-04 5.890944386343431473e+08 5.079150872308837705e+01
2.734092385867356654e-04 5.877774883785424232e+08 2.818056069233635696e+01
2.761598856982491138e-04 5.892131933848989010e+08 5.283291704041621983e+01
2.789382058305104641e-04 5.888846970637334585e+08 4.718703128368741062e+01
2.817444773893080481e-04 5.878262951333105564e+08 2.901762939504943262e+01
2.845789815813451343e-04 5.872481648849816322e+08 1.910677085912091044e+01
2.874420024424190461e-04 5.871478936869236231e+08 1.738881901291581400e+01
2.903338268658834753e-04 5.871313146741460562e+08 1.710479815487596511e+01
2.932547446313961024e-04 5.871304764889061451e+08 1.709043912377780572e+01
2.962050484339578678e-04 5.871611600682016611e+08 1.761609580011921494e+01
2.991850339132419412e-04 5.871863660495427847e+08 1.804793339173755129e+01
3.021949996832188419e-04 5.871537160539005995e+08 1.748856591784034720e+01
3.052352473620797675e-04 5.871316421081548929e+08 1.711040746360401954e+01
3.083060816024607359e-04 5.871311532852082253e+08 1.710203338403218964e+01
3.114078101219701399e-04 5.871405636605200768e+08 1.726324478156381659e+01
3.145407437340249214e-04 5.871377743897782564e+08 1.721546084575906121e+01
3.177051963789960130e-04 5.871357332304804325e+08 1.718049320272028524e+01
3.209014851556663017e-04 5.871317478165730238e+08 1.711221836703855814e+01
3.241299303530064259e-04 5.871317381164500713e+08 1.711205219306972580e+01
3.273908554822708462e-04 5.871318112744373083e+08 1.711330547138638636e+01
3.306845873094145689e-04 5.871319096066334248e+08 1.711499001236240147e+01
3.340114558878371897e-04 5.871320060921397209e+08 1.711664291774225788e+01
3.373717945914571316e-04 5.871326446469241381e+08 1.712758208715114350e+01
3.407659401481178112e-04 5.871321677395749092e+08 1.711941212095454290e+01
3.441942326733289865e-04 5.871323013674360514e+08 1.712170131777798687e+01
3.476570157043498439e-04 5.871324784855015278e+08 1.712473555193417241e+01
3.511546362346130686e-04 5.871328933550623655e+08 1.713184274352600411e+01
3.546874447484954247e-04 5.871341286799004078e+08 1.715300530513756172e+01
3.582557952564392918e-04 5.871335910960584879e+08 1.714379585869430045e+01
3.618600453304267849e-04 5.871346840251426697e+08 1.716251903421140668e+01
3.655005561398100332e-04 5.871402777378846407e+08 1.725834653422656473e+01
3.691776924875035302e-04 5.871477165674624443e+08 1.738578467518652459e+01
3.728918228465397978e-04 5.871464496123387814e+08 1.736407974801296206e+01
3.766433193969919466e-04 5.871545391560785770e+08 1.750266711751462623e+01
3.804325580632686031e-04 5.871677037935731411e+08 1.772820338519949956e+01
3.842599185517856539e-04 5.871884643147356510e+08 1.808388243267337714e+01
3.881257843890133382e-04 5.872239850921361446e+08 1.869247032214209270e+01
3.920305429599087220e-04 5.872805982649918795e+08 1.966251649982925187e+01
3.959745855467345808e-04 5.873725674426670074e+08 2.123857434916945763e+01
3.999583073682684326e-04 5.875087310257945061e+08 2.357243627788043483e+01
4.039821076194048655e-04 5.876870058301240206e+08 2.662890793747330420e+01
4.080463895111592371e-04 5.878644412787810564e+08 2.967190986113035578e+01
4.121515603110711729e-04 5.879902932584493160e+08 3.183081679457705349e+01
4.162980313840146948e-04 5.880573356648982763e+08 3.298107331223973659e+01
4.204862182334211064e-04 5.895812947466219664e+08 5.916323782281827448e+01
4.247165405429142527e-04 5.906821740932631493e+08 7.811889679314214163e+01
4.289894222183655305e-04 5.905474373851467371e+08 7.579701313221491432e+01
4.333052914303724959e-04 5.895504585413477421e+08 5.863278903616214421e+01
4.376645806571643213e-04 5.883242662632716894e+08 3.756214176410216510e+01
4.420677267279378452e-04 5.878889076758025885e+08 3.009157842697047514e+01
4.465151708666321799e-04 5.877829807092988491e+08 2.827475439180222239e+01
4.510073587361421513e-04 5.876458097885085344e+08 2.592253094128786728e+01
4.555447404829750680e-04 5.874844372250258923e+08 2.315599765223595341e+01
4.601277707823593329e-04 5.873423830982283354e+08 2.072128392202841241e+01
4.647569088838067919e-04 5.872401919513151646e+08 1.897015942071726613e+01
4.694326186571313162e-04 5.872447188402899504e+08 1.904772472173435816e+01
4.741553686389312055e-04 5.872522091980237961e+08 1.917606844747231776e+01
4.789256320795411050e-04 5.875512603560798168e+08 2.430150552718469825e+01
4.837438869904536537e-04 5.877522489623477459e+08 2.774771497731366310e+01
4.886106161922192104e-04 5.874112834091727734e+08 2.190211612508845818e+01
4.935263073628288642e-04 5.871519491383938789e+08 1.745829558922484992e+01
4.984914530865821366e-04 5.871365575513695478e+08 1.719461484857181333e+01
5.035065509034459359e-04 5.871400604889230728e+08 1.725462476281223800e+01
5.085721033589137626e-04 5.871656497785422802e+08 1.769301371385430599e+01
5.136886180543629972e-04 5.871702551635985374e+08 1.777191398294436908e+01
5.188566076979181851e-04 5.874077109452140331e+08 2.184088686475797303e+01
5.240765901558304017e-04 5.873200937851656675e+08 2.033931328624041512e+01
5.293490885043698789e-04 5.871638428405939341e+08 1.766205710324772227e+01
5.346746310822405668e-04 5.871422974369544983e+08 1.729294680356663605e+01
5.400537515435240021e-04 5.871603557596900463e+08 1.760231641367321131e+01
5.454869889111559544e-04 5.871359482812600136e+08 1.718417728911649789e+01
5.509748876309380171e-04 5.871366431690790653e+08 1.719608158795163533e+01
5.565179976260949861e-04 5.871376104983028173e+08 1.721265317279714679e+01
5.621168743523832301e-04 5.871381609901597500e+08 1.722208381345429018e+01
5.677720788537481003e-04 5.871382838520014286e+08 1.722418859761869570e+01
5.734841778185444756e-04 5.871385050015263557e+08 1.722797717956055763e+01
5.792537436363242361e-04 5.871389911915388107e+08 1.723630625831976104e+01
5.850813544551927269e-04 5.871395796827013493e+08 1.724638790047922754e+01
5.909675942397419083e-04 5.871399695306557417e+08 1.725306652387719453e+01
5.969130528295690840e-04 5.871401352343456745e+08 1.725590525382721552e+01
6.029183259983817485e-04 5.871399513852107525e+08 1.725275566773362712e+01
6.089840155136973373e-04 5.871398943802771568e+08 1.725177909577665858e+01
6.151107291971456836e-04 5.871398781304836273e+08 1.725150071475489710e+01
6.212990809853770032e-04 5.871399067983853817e+08 1.725199183483398713e+01
6.275496909915792001e-04 5.871402685129283667e+08 1.725818849809888889e+01
6.338631855676209745e-04 5.871409708075366020e+08 1.727021977311442669e+01
6.402401973668154188e-04 5.871417110777456760e+08 1.728290163811540125e+01
6.466813654073138608e-04 5.871421700615155697e+08 1.729076468066457650e+01
6.531873351361414462e-04 5.871422673877747059e+08 1.729243201822516340e+01
6.597587584938764118e-04 5.871419824800770283e+08 1.728755114399865889e+01
6.663962939799759769e-04 5.871415827335636616e+08 1.728070292145997655e+01
6.731006067187637063e-04 5.871411077102792263e+08 1.727256510754317986e+01
6.798723685260793211e-04 5.871405159890241623e+08 1.726242810321619814e+01
6.867122579765994137e-04 5.871400283053652048e+08 1.725407341462837252e+01
6.936209604718336207e-04 5.871396356914590597e+08 1.724734740607398464e+01
7.005991683088075295e-04 5.871392960950250626e+08 1.724152966233116047e+01
7.076475807494357877e-04 5.871390943079781532e+08 1.723807278036487034e+01
7.147669040905907292e-04 5.871391299265806675e+08 1.723868297457291732e+01
7.219578517348796331e-04 5.871392350728409290e+08 1.724048427058603750e+01
7.292211442621331129e-04 5.871394534216929674e+08 1.724422487937066251e+01
7.365575095016087519e-04 5.871397465004681349e+08 1.724924571418951302e+01
7.439676826049269019e-04 5.871400440168144703e+08 1.725434257315092879e+01
7.514524061197376667e-04 5.871402385299950838e+08 1.725767484942960905e+01
7.590124300641275289e-04 5.871404347714918852e+08 1.726103673524145066e+01
7.666485120017767869e-04 5.871404900010960102e+08 1.726198289426171328e+01
7.743614171178737644e-04 5.871403992529811859e+08 1.726042825438834782e+01
7.821519182957890459e-04 5.871402970642578602e+08 1.725867762146071627e+01
7.900207961945232907e-04 5.871401066112987995e+08 1.725541490198331473e+01
7.979688393269378406e-04 5.871398963370927572e+08 1.725181261868544169e+01
8.059968441387657364e-04 5.871397544318894148e+08 1.724938159017068173e+01
8.141056150884199479e-04 5.871397400624829531e+08 1.724913542279111311e+01
8.222959647276091187e-04 5.871397405771759748e+08 1.724914424017810433e+01
